date,open,high,low,close,volume,ma5,volume_ma5,volatility_range_5d,volatility_range_20d,volume_ratio_5d,ma5_acceleration,close_acceleration,volume_ratio_5d_acceleration,up_days_20d,gap_up_ratio_20d
2019-04-15,6178.503,6215.377,6049.24,6052.052,191818239,6148.2686,205013129.8,0.0201458474623508,0.0232229731618373,0.9356388012178916,-3.859200000000783,-43.40700000000015,0.2496279140802563,0.5,0.5
2019-04-16,6019.125,6179.8,5978.727,6179.8,198001456,6135.1422,202903889.0,0.023573231745255,0.0233899332541163,0.975838644472704,22.50579999999991,176.90000000000057,-0.084695855426456,0.5,0.45
2019-04-17,6181.762,6267.587,6175.581,6234.11,222085301,6134.822999999999,201237978.6,0.0223329408956612,0.0235122554278439,1.1035953677582806,12.807199999999284,-73.43800000000101,0.087556880030764,0.55,0.45
2019-04-18,6229.695,6255.79,6188.119,6202.844,212230452,6154.002,200291285.2,0.0198371550917576,0.0228963310946853,1.0596090178765305,19.498200000001816,-85.57599999999911,-0.1717430731673268,0.5,0.5
2019-04-19,6198.612,6255.256,6147.157,6255.252,207121062,6184.811599999999,206251302.0,0.0205875921366316,0.0227604534241908,1.0042169915611006,11.630599999997685,83.67399999999998,-0.0114056764336794,0.5,0.45
2019-04-22,6270.368,6274.459,6171.313,6192.144,214587952,6212.83,210805244.6,0.0184288337299108,0.0224927825886942,1.0179440858180622,-2.7911999999978434,-115.51600000000052,0.0691191205723913,0.5,0.5
2019-04-23,6175.125,6175.818,6061.748,6078.267,213003386,6192.5234,213805630.6,0.015674778771273,0.0221792375273134,0.9962477854406888,-48.32500000000073,-50.76900000000023,-0.0354233946343348,0.5,0.45
2019-04-24,6081.959,6153.39,6017.86,6153.39,182176366,6176.3794,205823843.6,0.017128133902808,0.0212747160401778,0.885108172180689,4.162599999999657,189.0000000000009,-0.0894433128826266,0.5,0.45
2019-04-25,6130.01,6140.298,5899.646,5899.906,212511761,6115.791800000001,205880105.4,0.0231040241808373,0.0220617537973009,1.0322112502668264,-44.443599999998696,-328.6070000000009,0.2582426913461372,0.5,0.5
2019-04-26,5861.788,5926.044,5830.354,5834.377,172501458,6031.616800000001,198956184.6,0.0229279736713051,0.0217685846508666,0.8670323988510986,-23.587400000001253,187.95500000000084,-0.312281929501865,0.45,0.5
2019-04-29,5831.238,5849.637,5613.826,5622.484,179824494,5917.684800000001,192003493.0,0.0279846050353227,0.0220764523354181,0.9365688675257592,-29.756999999999607,-146.3640000000005,0.2347153200903882,0.4,0.45
2019-04-30,5595.807,5718.315,5595.807,5682.235,134502043,5838.4784,176303224.4,0.0285431978433521,0.0217211864562441,0.7629017759473263,34.72559999999885,271.6439999999993,-0.2432035602530932,0.4,0.4
2019-05-06,5480.129,5496.835,5212.991,5246.829,167814118,5657.166200000001,173430774.8,0.0349577861432665,0.023624858117302,0.9676144167234614,-102.10579999999844,-495.1569999999992,0.3783797323545678,0.35,0.4
2019-05-07,5273.222,5353.606,5214.897,5312.496,144244560,5539.6842,159777334.6,0.032021951070091,0.0239478584921218,0.902784868461562,63.83019999999851,501.0730000000003,-0.2695421890380343,0.35,0.35
2019-05-08,5198.836,5376.899,5166.403,5292.745,145636329,5431.3578,154404308.8,0.0366958713882328,0.0252554169302489,0.9432141507698648,9.15560000000096,-85.41800000000057,0.105258830570202,0.35,0.3
2019-05-09,5243.715,5308.02,5229.824,5237.824,121058408,5354.425799999999,142651091.6,0.0312935484196813,0.0244632086618164,0.8486328891155853,31.394399999999223,-35.17000000000007,-0.1350105439625823,0.3,0.35
2019-05-10,5292.45,5445.544,5192.697,5445.526,172481790,5307.084000000001,150247041.0,0.0362679955140662,0.0260148009684866,1.14798793275403,29.59020000000237,262.6230000000005,0.3939363052927244,0.35,0.4
2019-05-13,5385.762,5440.907,5366.777,5405.614,135045946,5338.840999999999,143693406.6,0.028191059848754,0.0256524801976224,0.9398200599135912,79.09879999999703,-247.6140000000005,-0.5075229164788838,0.35,0.4
2019-05-14,5333.847,5422.623,5328.008,5368.228,130383164,5349.9874,140921127.4,0.0264940693453094,0.0253642999219988,0.9252208409453868,-20.61059999999816,2.526000000000749,0.1935686538722347,0.35,0.4
2019-05-15,5412.934,5491.395,5403.479,5486.386,146817521,5388.7156,141157365.8,0.0217448143068053,0.0254890628757437,1.040098192311265,27.58179999999993,155.54399999999987,0.1294765703340825,0.4,0.4
2019-05-16,5488.266,5539.351,5478.065,5527.275,165713589,5446.6058,150088402.0,0.0209765788555481,0.0246708915101157,1.1041065584801149,19.161999999999352,-77.26900000000114,-0.0508689851970285,0.4,0.45
2019-05-17,5527.378,5530.904,5306.466,5330.986,175754930,5423.6978,150743030.0,0.0201102973970526,0.025149067381436,1.165924089491899,-80.79820000000018,-237.17799999999897,-0.0021908351570656,0.35,0.45
2019-05-20,5326.193,5330.182,5200.675,5313.149,135497682,5405.2048,150833377.2,0.0222425553367539,0.0256298838078956,0.8983269122213887,4.415000000000873,178.45200000000025,-0.3294147082822943,0.35,0.4
